Library_Imports,Data_Type,Preprocessing_Techniques,Model_Type,Optimizer,Loss_Function,Epochs,Batch_Size,Validation_Technique,Evaluation_Metrics,Code_ID
"pandas, scikit-learn",Image,Tokenization,Random Forest,Adam,categorical_crossentropy,8,32,Cross-Validation,Accuracy,code_436.py
"tensorflow, scikit-learn",Audio,Image Augmentation,RNN,,,12,64,,"Precision, Recall",code_437.py
"pandas, scikit-learn",Audio,Tokenization,Transformer,SGD,categorical_crossentropy,12,32,Validation Split,Accuracy,code_438.py
"pandas, tensorflow, transformers",Text,Image Augmentation,Transformer,RMSprop,categorical_crossentropy,18,32,Cross-Validation,"Accuracy, Recall",code_439.py
"pandas, numpy, tensorflow, sklearn",Audio,Tokenization,CNN,RMSprop,mean_squared_error,25,64,Cross-Validation,"Accuracy, Recall",code_440.py
"pandas, scikit-learn",Image,Tokenization,Transformer,,,20,16,,"Accuracy, Recall",code_441.py
"tensorflow, numpy",Tabular,Image Augmentation,Transformer,RMSprop,mean_squared_error,8,64,Validation Split,"Accuracy, Recall",code_442.py
"tensorflow, keras",Image,Tokenization,Transformer,SGD,categorical_crossentropy,8,16,Cross-Validation,"Accuracy, Recall",code_443.py
"tensorflow, keras, sklearn",Tabular,Scaling,Random Forest,,,25,16,,Accuracy,code_444.py
"pandas, scikit-learn",Tabular,Tokenization,Transformer,RMSprop,mean_squared_error,12,32,Cross-Validation,"Precision, Recall",code_445.py
"pandas, scikit-learn",Tabular,Tokenization,CNN,,,18,64,,"Accuracy, Precision",code_446.py
"tensorflow, keras",Audio,Scaling,RNN,RMSprop,categorical_crossentropy,8,64,Cross-Validation,"Accuracy, Precision",code_447.py
"tensorflow, keras",Text,Tokenization,CNN,SGD,categorical_crossentropy,18,16,Validation Split,"Accuracy, Precision",code_448.py
"tensorflow, keras",Audio,Scaling,CNN,,,12,16,,"Accuracy, Recall",code_449.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,Random Forest,,,12,16,,"Precision, Recall",code_450.py
"tensorflow, numpy",Image,Image Augmentation,Random Forest,SGD,categorical_crossentropy,8,64,Cross-Validation,Accuracy,code_451.py
"pandas, scikit-learn",Tabular,Image Augmentation,RNN,Adam,categorical_crossentropy,20,64,Validation Split,Accuracy,code_452.py
"tensorflow, numpy",Audio,Image Augmentation,Random Forest,Adam,categorical_crossentropy,25,16,Validation Split,"Precision, Recall",code_453.py
"tensorflow, numpy",Tabular,Scaling,RNN,RMSprop,mean_squared_error,12,16,Validation Split,"Accuracy, Precision",code_454.py
"pandas, scikit-learn",Audio,Image Augmentation,CNN,SGD,categorical_crossentropy,20,64,Validation Split,"Accuracy, Precision",code_455.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,RNN,SGD,mean_squared_error,8,16,Validation Split,"Precision, Recall",code_456.py
"tensorflow, numpy",Tabular,Tokenization,RNN,,,8,32,,"Accuracy, Precision",code_457.py
"tensorflow, keras",Audio,Image Augmentation,RNN,RMSprop,mean_squared_error,8,32,Cross-Validation,"Accuracy, Precision",code_458.py
"pandas, tensorflow, transformers",Tabular,Tokenization,Random Forest,SGD,mean_squared_error,8,32,Validation Split,Accuracy,code_459.py
"pandas, numpy, tensorflow, sklearn",Tabular,Scaling,Random Forest,,,25,32,,"Precision, Recall",code_460.py
"tensorflow, scikit-learn",Audio,Tokenization,RNN,RMSprop,categorical_crossentropy,8,32,Validation Split,"Precision, Recall",code_461.py
"pandas, scikit-learn",Image,Tokenization,RNN,Adam,categorical_crossentropy,25,16,Validation Split,"Accuracy, Precision",code_462.py
"pandas, tensorflow, transformers",Text,Scaling,CNN,RMSprop,mean_squared_error,25,16,Validation Split,"Accuracy, Precision",code_463.py
"tensorflow, keras, sklearn",Tabular,Tokenization,CNN,,,20,32,,"Accuracy, Recall",code_464.py
"tensorflow, scikit-learn",Text,Tokenization,RNN,Adam,mean_squared_error,10,64,Validation Split,Accuracy,code_465.py
"tensorflow, keras",Audio,Image Augmentation,Random Forest,Adam,mean_squared_error,18,16,Validation Split,"Precision, Recall",code_466.py
"tensorflow, keras",Image,Image Augmentation,CNN,RMSprop,categorical_crossentropy,25,64,Cross-Validation,Accuracy,code_467.py
"pandas, tensorflow, transformers",Tabular,Image Augmentation,CNN,SGD,categorical_crossentropy,10,32,Validation Split,"Accuracy, Recall",code_468.py
"tensorflow, numpy",Tabular,Tokenization,Random Forest,Adam,categorical_crossentropy,20,64,Validation Split,"Accuracy, Precision",code_469.py
"tensorflow, keras, sklearn",Tabular,Image Augmentation,RNN,Adam,categorical_crossentropy,15,64,Cross-Validation,"Precision, Recall",code_470.py
"pandas, numpy, tensorflow, sklearn",Tabular,Scaling,CNN,SGD,categorical_crossentropy,15,64,Cross-Validation,"Precision, Recall",code_471.py
"tensorflow, keras, sklearn",Image,Tokenization,RNN,,,20,64,,"Accuracy, Recall",code_472.py
"tensorflow, keras",Audio,Image Augmentation,Transformer,SGD,mean_squared_error,25,16,Validation Split,Accuracy,code_473.py
"pandas, scikit-learn",Audio,Image Augmentation,Random Forest,,,15,32,,"Accuracy, Precision",code_474.py
"pandas, scikit-learn",Image,Scaling,Transformer,,,18,16,,"Accuracy, Recall",code_475.py
"tensorflow, keras, sklearn",Image,Tokenization,Transformer,,,18,64,,"Precision, Recall",code_476.py
"pandas, tensorflow, transformers",Audio,Scaling,Transformer,SGD,mean_squared_error,8,16,Cross-Validation,"Precision, Recall",code_477.py
"pandas, tensorflow, transformers",Text,Tokenization,Random Forest,Adam,mean_squared_error,15,32,Validation Split,Accuracy,code_478.py
"tensorflow, scikit-learn",Audio,Tokenization,Transformer,SGD,mean_squared_error,10,64,Validation Split,Accuracy,code_479.py
"tensorflow, keras",Audio,Image Augmentation,Transformer,Adam,categorical_crossentropy,15,16,Validation Split,"Accuracy, Recall",code_480.py
"pandas, scikit-learn",Tabular,Image Augmentation,RNN,SGD,categorical_crossentropy,10,64,Validation Split,"Precision, Recall",code_481.py
"pandas, tensorflow, transformers",Image,Scaling,Random Forest,SGD,mean_squared_error,10,32,Cross-Validation,"Accuracy, Recall",code_482.py
"pandas, numpy, tensorflow, sklearn",Audio,Image Augmentation,Transformer,RMSprop,mean_squared_error,20,16,Cross-Validation,"Accuracy, Recall",code_483.py
"tensorflow, keras",Tabular,Tokenization,CNN,,,12,64,,"Accuracy, Precision",code_484.py
"tensorflow, keras",Audio,Image Augmentation,Random Forest,,,12,32,,"Accuracy, Precision",code_485.py
"pandas, tensorflow, transformers",Audio,Scaling,Random Forest,RMSprop,categorical_crossentropy,15,16,Cross-Validation,"Accuracy, Recall",code_486.py
"tensorflow, keras",Text,Tokenization,RNN,RMSprop,mean_squared_error,8,64,Validation Split,"Accuracy, Recall",code_487.py
"pandas, scikit-learn",Image,Image Augmentation,Random Forest,SGD,mean_squared_error,8,32,Cross-Validation,"Accuracy, Precision",code_488.py
"pandas, numpy, tensorflow, sklearn",Audio,Tokenization,Transformer,RMSprop,mean_squared_error,10,32,Validation Split,"Accuracy, Precision",code_489.py
"tensorflow, keras, sklearn",Tabular,Scaling,Transformer,SGD,mean_squared_error,20,16,Validation Split,Accuracy,code_490.py
"tensorflow, keras",Audio,Image Augmentation,RNN,SGD,mean_squared_error,15,16,Cross-Validation,"Accuracy, Precision",code_491.py
"pandas, tensorflow, transformers",Image,Tokenization,Random Forest,SGD,categorical_crossentropy,8,16,Cross-Validation,"Accuracy, Recall",code_492.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,CNN,SGD,mean_squared_error,10,16,Validation Split,Accuracy,code_493.py
"tensorflow, numpy",Audio,Scaling,Transformer,,,20,32,,Accuracy,code_494.py
"pandas, tensorflow, transformers",Tabular,Tokenization,Transformer,RMSprop,mean_squared_error,25,64,Validation Split,"Precision, Recall",code_495.py
"pandas, tensorflow, transformers",Text,Image Augmentation,CNN,SGD,mean_squared_error,18,32,Cross-Validation,Accuracy,code_496.py
"pandas, scikit-learn",Text,Scaling,CNN,,,18,16,,"Precision, Recall",code_497.py
"tensorflow, numpy",Audio,Image Augmentation,Random Forest,,,18,16,,"Accuracy, Recall",code_498.py
"tensorflow, numpy",Tabular,Scaling,CNN,RMSprop,categorical_crossentropy,12,16,Validation Split,"Precision, Recall",code_499.py
"pandas, scikit-learn",Text,Image Augmentation,CNN,RMSprop,mean_squared_error,15,32,Validation Split,"Accuracy, Recall",code_500.py
"pandas, tensorflow, transformers",Tabular,Tokenization,Transformer,,,18,16,,Accuracy,code_001.py
"tensorflow, scikit-learn",Tabular,Scaling,Random Forest,,,25,16,,"Accuracy, Recall",code_002.py
"pandas, scikit-learn",Tabular,Tokenization,Random Forest,Adam,categorical_crossentropy,20,16,Cross-Validation,Accuracy,code_003.py
"pandas, tensorflow, transformers",Text,Image Augmentation,CNN,RMSprop,categorical_crossentropy,10,32,Cross-Validation,"Precision, Recall",code_004.py
"tensorflow, scikit-learn",Image,Image Augmentation,Transformer,RMSprop,categorical_crossentropy,15,16,Validation Split,Accuracy,code_005.py
"tensorflow, numpy",Tabular,Tokenization,RNN,Adam,categorical_crossentropy,10,64,Validation Split,"Accuracy, Recall",code_006.py
"tensorflow, scikit-learn",Tabular,Tokenization,RNN,,,15,64,,"Accuracy, Recall",code_007.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,CNN,Adam,mean_squared_error,20,32,Validation Split,"Accuracy, Recall",code_008.py
"pandas, numpy, tensorflow, sklearn",Audio,Tokenization,Transformer,RMSprop,categorical_crossentropy,10,32,Cross-Validation,"Accuracy, Recall",code_009.py
"tensorflow, keras",Tabular,Scaling,Transformer,RMSprop,mean_squared_error,12,64,Cross-Validation,Accuracy,code_010.py
"pandas, tensorflow, transformers",Tabular,Scaling,RNN,RMSprop,mean_squared_error,18,32,Cross-Validation,"Accuracy, Precision",code_011.py
"pandas, numpy, tensorflow, sklearn",Tabular,Image Augmentation,RNN,Adam,categorical_crossentropy,18,16,Cross-Validation,"Precision, Recall",code_012.py
"pandas, tensorflow, transformers",Tabular,Scaling,RNN,SGD,mean_squared_error,20,16,Cross-Validation,"Precision, Recall",code_013.py
"tensorflow, scikit-learn",Image,Scaling,CNN,Adam,mean_squared_error,25,64,Cross-Validation,"Accuracy, Recall",code_014.py
"tensorflow, scikit-learn",Text,Image Augmentation,CNN,SGD,mean_squared_error,25,32,Cross-Validation,"Precision, Recall",code_015.py
"tensorflow, keras",Image,Tokenization,CNN,,,25,32,,"Precision, Recall",code_016.py
"tensorflow, scikit-learn",Text,Scaling,Random Forest,Adam,mean_squared_error,25,64,Validation Split,"Precision, Recall",code_017.py
"tensorflow, keras, sklearn",Image,Tokenization,Transformer,RMSprop,mean_squared_error,20,32,Validation Split,"Accuracy, Precision",code_018.py
"tensorflow, keras",Text,Image Augmentation,CNN,,,12,64,,"Accuracy, Recall",code_019.py
"tensorflow, numpy",Audio,Image Augmentation,Transformer,SGD,mean_squared_error,18,64,Validation Split,Accuracy,code_020.py
"tensorflow, keras, sklearn",Text,Tokenization,Transformer,RMSprop,categorical_crossentropy,12,32,Validation Split,"Accuracy, Recall",code_021.py
"tensorflow, numpy",Image,Tokenization,CNN,SGD,categorical_crossentropy,8,64,Cross-Validation,"Precision, Recall",code_022.py
"pandas, tensorflow, transformers",Audio,Scaling,Transformer,,,8,64,,"Precision, Recall",code_023.py
"pandas, numpy, tensorflow, sklearn",Audio,Image Augmentation,RNN,RMSprop,mean_squared_error,20,16,Cross-Validation,"Precision, Recall",code_024.py
"pandas, numpy, tensorflow, sklearn",Image,Tokenization,Transformer,RMSprop,mean_squared_error,12,32,Cross-Validation,"Accuracy, Precision",code_025.py
"tensorflow, keras, sklearn",Tabular,Image Augmentation,RNN,RMSprop,mean_squared_error,12,16,Validation Split,Accuracy,code_026.py
"tensorflow, keras",Image,Image Augmentation,RNN,Adam,categorical_crossentropy,10,32,Cross-Validation,Accuracy,code_027.py
"tensorflow, keras",Tabular,Scaling,Transformer,Adam,mean_squared_error,18,32,Cross-Validation,"Precision, Recall",code_028.py
"pandas, tensorflow, transformers",Tabular,Tokenization,Random Forest,,,25,64,,"Precision, Recall",code_029.py
"tensorflow, keras",Text,Tokenization,CNN,SGD,categorical_crossentropy,8,64,Cross-Validation,"Accuracy, Precision",code_030.py
"tensorflow, keras, sklearn",Tabular,Tokenization,CNN,,,15,64,,"Accuracy, Recall",code_031.py
"tensorflow, scikit-learn",Image,Image Augmentation,RNN,RMSprop,categorical_crossentropy,15,16,Cross-Validation,Accuracy,code_032.py
"pandas, numpy, tensorflow, sklearn",Image,Tokenization,RNN,Adam,categorical_crossentropy,25,16,Cross-Validation,"Accuracy, Recall",code_033.py
"tensorflow, keras",Image,Scaling,Random Forest,RMSprop,categorical_crossentropy,20,64,Validation Split,"Accuracy, Recall",code_034.py
"pandas, tensorflow, transformers",Tabular,Scaling,Random Forest,RMSprop,mean_squared_error,25,64,Validation Split,"Accuracy, Recall",code_035.py
"tensorflow, scikit-learn",Text,Scaling,CNN,,,20,64,,Accuracy,code_036.py
"pandas, numpy, tensorflow, sklearn",Text,Scaling,CNN,SGD,categorical_crossentropy,12,16,Validation Split,"Precision, Recall",code_037.py
"pandas, scikit-learn",Audio,Image Augmentation,CNN,Adam,mean_squared_error,15,16,Validation Split,"Accuracy, Recall",code_038.py
"tensorflow, numpy",Text,Image Augmentation,Transformer,RMSprop,mean_squared_error,8,32,Cross-Validation,Accuracy,code_039.py
"pandas, tensorflow, transformers",Text,Tokenization,RNN,RMSprop,mean_squared_error,10,32,Cross-Validation,"Precision, Recall",code_040.py
"pandas, tensorflow, transformers",Text,Scaling,Transformer,SGD,categorical_crossentropy,10,32,Validation Split,Accuracy,code_041.py
"tensorflow, numpy",Tabular,Image Augmentation,RNN,RMSprop,categorical_crossentropy,25,16,Cross-Validation,"Accuracy, Recall",code_042.py
"pandas, scikit-learn",Text,Tokenization,RNN,SGD,categorical_crossentropy,25,32,Validation Split,"Accuracy, Recall",code_043.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,Transformer,RMSprop,categorical_crossentropy,20,32,Validation Split,Accuracy,code_044.py
"tensorflow, scikit-learn",Tabular,Image Augmentation,Transformer,SGD,mean_squared_error,10,64,Validation Split,"Accuracy, Recall",code_045.py
"pandas, numpy, tensorflow, sklearn",Text,Image Augmentation,RNN,RMSprop,mean_squared_error,15,32,Cross-Validation,Accuracy,code_046.py
"pandas, tensorflow, transformers",Text,Scaling,RNN,,,8,32,,"Accuracy, Recall",code_047.py
"pandas, numpy, tensorflow, sklearn",Audio,Tokenization,Random Forest,RMSprop,categorical_crossentropy,15,64,Validation Split,Accuracy,code_048.py
"pandas, scikit-learn",Tabular,Scaling,Transformer,Adam,mean_squared_error,8,16,Cross-Validation,"Accuracy, Precision",code_049.py
"pandas, tensorflow, transformers",Text,Tokenization,CNN,SGD,mean_squared_error,8,64,Cross-Validation,"Accuracy, Precision",code_050.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,Transformer,RMSprop,mean_squared_error,25,64,Validation Split,"Precision, Recall",code_051.py
"pandas, tensorflow, transformers",Tabular,Image Augmentation,CNN,SGD,mean_squared_error,20,64,Cross-Validation,"Precision, Recall",code_052.py
"pandas, scikit-learn",Tabular,Scaling,RNN,Adam,mean_squared_error,15,32,Validation Split,Accuracy,code_053.py
"tensorflow, keras, sklearn",Text,Image Augmentation,Random Forest,SGD,mean_squared_error,18,16,Cross-Validation,Accuracy,code_054.py
"tensorflow, scikit-learn",Text,Tokenization,Transformer,,,20,64,,Accuracy,code_055.py
"tensorflow, numpy",Image,Scaling,Transformer,,,12,32,,"Accuracy, Precision",code_056.py
"tensorflow, keras, sklearn",Image,Tokenization,Random Forest,RMSprop,mean_squared_error,20,16,Cross-Validation,Accuracy,code_057.py
"pandas, tensorflow, transformers",Tabular,Tokenization,Random Forest,,,8,16,,"Accuracy, Recall",code_058.py
"tensorflow, numpy",Tabular,Tokenization,CNN,RMSprop,mean_squared_error,18,32,Validation Split,Accuracy,code_059.py
"tensorflow, scikit-learn",Text,Image Augmentation,CNN,RMSprop,categorical_crossentropy,8,64,Cross-Validation,"Precision, Recall",code_060.py
"pandas, tensorflow, transformers",Tabular,Image Augmentation,Random Forest,RMSprop,mean_squared_error,15,16,Cross-Validation,"Accuracy, Precision",code_061.py
"tensorflow, scikit-learn",Tabular,Tokenization,CNN,Adam,categorical_crossentropy,8,16,Cross-Validation,Accuracy,code_062.py
"tensorflow, numpy",Text,Image Augmentation,Random Forest,,,20,32,,"Accuracy, Recall",code_063.py
"tensorflow, scikit-learn",Tabular,Scaling,CNN,SGD,categorical_crossentropy,15,32,Validation Split,"Accuracy, Precision",code_064.py
"pandas, scikit-learn",Text,Image Augmentation,Random Forest,,,25,64,,Accuracy,code_065.py
"tensorflow, keras, sklearn",Tabular,Tokenization,Random Forest,,,25,64,,"Accuracy, Recall",code_066.py
"tensorflow, numpy",Audio,Image Augmentation,Random Forest,RMSprop,categorical_crossentropy,8,32,Cross-Validation,"Precision, Recall",code_067.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,Transformer,,,15,32,,"Accuracy, Recall",code_068.py
"tensorflow, keras, sklearn",Image,Image Augmentation,CNN,SGD,mean_squared_error,8,64,Validation Split,Accuracy,code_069.py
"tensorflow, scikit-learn",Text,Scaling,CNN,,,10,64,,"Accuracy, Precision",code_070.py
"pandas, numpy, tensorflow, sklearn",Text,Scaling,RNN,SGD,categorical_crossentropy,15,16,Validation Split,"Accuracy, Precision",code_071.py
"tensorflow, scikit-learn",Text,Scaling,Random Forest,Adam,categorical_crossentropy,18,32,Cross-Validation,Accuracy,code_072.py
"pandas, tensorflow, transformers",Audio,Image Augmentation,Random Forest,SGD,categorical_crossentropy,15,32,Cross-Validation,"Accuracy, Precision",code_073.py
"pandas, tensorflow, transformers",Image,Scaling,Random Forest,,,8,64,,"Accuracy, Precision",code_074.py
"tensorflow, keras",Text,Image Augmentation,Random Forest,SGD,mean_squared_error,18,64,Validation Split,"Accuracy, Recall",code_075.py
"pandas, tensorflow, transformers",Image,Image Augmentation,Random Forest,SGD,mean_squared_error,25,64,Validation Split,Accuracy,code_076.py
"pandas, scikit-learn",Tabular,Tokenization,RNN,SGD,categorical_crossentropy,10,16,Cross-Validation,"Accuracy, Recall",code_077.py
"tensorflow, numpy",Image,Scaling,Transformer,,,20,16,,"Accuracy, Precision",code_078.py
"tensorflow, numpy",Text,Image Augmentation,CNN,Adam,categorical_crossentropy,20,16,Cross-Validation,"Precision, Recall",code_079.py
"tensorflow, scikit-learn",Text,Scaling,CNN,RMSprop,categorical_crossentropy,25,64,Validation Split,"Precision, Recall",code_080.py
"pandas, scikit-learn",Text,Tokenization,RNN,,,12,64,,"Accuracy, Recall",code_081.py
"tensorflow, scikit-learn",Text,Scaling,RNN,Adam,mean_squared_error,10,16,Validation Split,Accuracy,code_082.py
"tensorflow, keras, sklearn",Image,Tokenization,Transformer,,,18,16,,"Accuracy, Precision",code_083.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,Transformer,,,8,16,,"Precision, Recall",code_084.py
"pandas, numpy, tensorflow, sklearn",Image,Scaling,CNN,RMSprop,mean_squared_error,12,16,Validation Split,"Accuracy, Recall",code_085.py
"tensorflow, scikit-learn",Tabular,Tokenization,Random Forest,,,8,64,,"Accuracy, Recall",code_086.py
"tensorflow, scikit-learn",Text,Scaling,Transformer,RMSprop,categorical_crossentropy,12,32,Validation Split,"Accuracy, Precision",code_087.py
"pandas, scikit-learn",Tabular,Scaling,RNN,SGD,categorical_crossentropy,18,32,Cross-Validation,"Accuracy, Recall",code_088.py
"tensorflow, keras, sklearn",Image,Tokenization,CNN,SGD,mean_squared_error,18,16,Validation Split,"Precision, Recall",code_089.py
"tensorflow, numpy",Tabular,Tokenization,RNN,,,10,32,,"Precision, Recall",code_090.py
"pandas, tensorflow, transformers",Image,Tokenization,Random Forest,SGD,categorical_crossentropy,10,32,Cross-Validation,"Accuracy, Precision",code_091.py
"tensorflow, keras",Text,Scaling,CNN,RMSprop,categorical_crossentropy,25,32,Validation Split,"Accuracy, Recall",code_092.py
"tensorflow, keras, sklearn",Text,Image Augmentation,RNN,Adam,mean_squared_error,20,64,Cross-Validation,"Accuracy, Recall",code_093.py
"pandas, numpy, tensorflow, sklearn",Image,Image Augmentation,Random Forest,Adam,categorical_crossentropy,20,32,Cross-Validation,"Accuracy, Recall",code_094.py
"tensorflow, keras",Text,Scaling,RNN,Adam,mean_squared_error,12,16,Cross-Validation,Accuracy,code_095.py
"tensorflow, keras, sklearn",Tabular,Tokenization,Random Forest,SGD,mean_squared_error,15,64,Validation Split,"Accuracy, Precision",code_096.py
"pandas, tensorflow, transformers",Text,Image Augmentation,RNN,SGD,categorical_crossentropy,25,32,Cross-Validation,"Accuracy, Precision",code_097.py
"tensorflow, keras",Text,Tokenization,CNN,RMSprop,mean_squared_error,18,16,Validation Split,"Accuracy, Recall",code_098.py
"tensorflow, keras",Audio,Scaling,Random Forest,SGD,categorical_crossentropy,15,16,Cross-Validation,"Precision, Recall",code_099.py
"tensorflow, keras, sklearn",Tabular,Image Augmentation,CNN,Adam,categorical_crossentropy,18,16,Validation Split,"Accuracy, Recall",code_100.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,CNN,SGD,categorical_crossentropy,25,32,Cross-Validation,Accuracy,code_101.py
"tensorflow, keras, sklearn",Audio,Tokenization,Transformer,Adam,categorical_crossentropy,8,64,Cross-Validation,Accuracy,code_102.py
"pandas, numpy, tensorflow, sklearn",Image,Tokenization,Random Forest,SGD,categorical_crossentropy,25,16,Cross-Validation,"Precision, Recall",code_103.py
"tensorflow, numpy",Image,Image Augmentation,Random Forest,Adam,mean_squared_error,25,16,Validation Split,"Accuracy, Precision",code_104.py
"tensorflow, numpy",Tabular,Image Augmentation,CNN,,,18,16,,"Precision, Recall",code_105.py
"tensorflow, numpy",Tabular,Image Augmentation,RNN,,,10,16,,Accuracy,code_106.py
"tensorflow, numpy",Audio,Tokenization,Random Forest,,,25,32,,Accuracy,code_107.py
"tensorflow, keras",Image,Image Augmentation,CNN,Adam,mean_squared_error,15,16,Cross-Validation,Accuracy,code_108.py
"tensorflow, keras, sklearn",Tabular,Image Augmentation,Random Forest,,,15,16,,"Accuracy, Precision",code_109.py
"pandas, numpy, tensorflow, sklearn",Text,Scaling,Transformer,SGD,categorical_crossentropy,10,16,Validation Split,"Precision, Recall",code_110.py
"pandas, numpy, tensorflow, sklearn",Text,Image Augmentation,RNN,RMSprop,categorical_crossentropy,10,64,Validation Split,Accuracy,code_111.py
"pandas, tensorflow, transformers",Tabular,Tokenization,Random Forest,SGD,mean_squared_error,25,64,Cross-Validation,"Accuracy, Precision",code_112.py
"tensorflow, keras",Tabular,Image Augmentation,CNN,RMSprop,categorical_crossentropy,15,32,Cross-Validation,Accuracy,code_113.py
"pandas, scikit-learn",Tabular,Scaling,RNN,RMSprop,categorical_crossentropy,8,64,Cross-Validation,"Accuracy, Precision",code_114.py
"tensorflow, keras, sklearn",Text,Image Augmentation,Transformer,SGD,mean_squared_error,18,64,Cross-Validation,"Accuracy, Recall",code_115.py
"tensorflow, keras",Image,Tokenization,CNN,Adam,mean_squared_error,25,64,Validation Split,Accuracy,code_116.py
"tensorflow, scikit-learn",Audio,Image Augmentation,CNN,,,10,64,,"Precision, Recall",code_117.py
"pandas, numpy, tensorflow, sklearn",Tabular,Image Augmentation,Transformer,Adam,mean_squared_error,25,32,Validation Split,"Accuracy, Recall",code_118.py
"pandas, tensorflow, transformers",Tabular,Tokenization,Random Forest,,,18,16,,"Accuracy, Precision",code_119.py
"tensorflow, scikit-learn",Audio,Tokenization,CNN,RMSprop,mean_squared_error,8,64,Validation Split,"Accuracy, Precision",code_120.py
"pandas, scikit-learn",Tabular,Image Augmentation,CNN,SGD,categorical_crossentropy,15,16,Cross-Validation,"Accuracy, Recall",code_121.py
"tensorflow, numpy",Audio,Scaling,Transformer,Adam,categorical_crossentropy,12,32,Validation Split,"Accuracy, Recall",code_122.py
"pandas, scikit-learn",Audio,Tokenization,CNN,,,10,16,,"Precision, Recall",code_123.py
"tensorflow, numpy",Tabular,Scaling,CNN,,,25,32,,"Accuracy, Precision",code_124.py
"pandas, scikit-learn",Tabular,Scaling,CNN,,,12,16,,"Precision, Recall",code_125.py
"tensorflow, keras",Image,Image Augmentation,CNN,SGD,categorical_crossentropy,15,32,Cross-Validation,"Accuracy, Recall",code_126.py
"tensorflow, keras",Audio,Image Augmentation,Random Forest,,,18,32,,"Accuracy, Precision",code_127.py
"tensorflow, keras",Text,Tokenization,RNN,RMSprop,categorical_crossentropy,12,64,Cross-Validation,"Accuracy, Recall",code_128.py
"tensorflow, keras",Audio,Scaling,Random Forest,Adam,mean_squared_error,12,32,Cross-Validation,"Accuracy, Precision",code_129.py
"tensorflow, numpy",Text,Tokenization,CNN,SGD,categorical_crossentropy,15,16,Cross-Validation,Accuracy,code_130.py
"pandas, scikit-learn",Audio,Tokenization,RNN,RMSprop,categorical_crossentropy,8,64,Cross-Validation,"Accuracy, Recall",code_131.py
"tensorflow, keras, sklearn",Audio,Scaling,Random Forest,,,15,64,,"Precision, Recall",code_132.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,CNN,SGD,categorical_crossentropy,18,64,Cross-Validation,Accuracy,code_133.py
"pandas, numpy, tensorflow, sklearn",Text,Image Augmentation,RNN,RMSprop,mean_squared_error,8,16,Validation Split,"Accuracy, Precision",code_134.py
"tensorflow, keras, sklearn",Tabular,Image Augmentation,Transformer,Adam,mean_squared_error,25,32,Validation Split,Accuracy,code_135.py
"tensorflow, keras, sklearn",Tabular,Tokenization,Transformer,,,18,32,,Accuracy,code_136.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,RNN,,,10,64,,"Accuracy, Precision",code_137.py
"tensorflow, scikit-learn",Image,Image Augmentation,Transformer,Adam,mean_squared_error,20,64,Validation Split,"Precision, Recall",code_138.py
"tensorflow, numpy",Tabular,Scaling,Transformer,,,20,32,,Accuracy,code_139.py
"tensorflow, keras",Audio,Image Augmentation,CNN,Adam,categorical_crossentropy,12,64,Cross-Validation,"Precision, Recall",code_140.py
"pandas, scikit-learn",Tabular,Scaling,CNN,,,12,64,,"Accuracy, Recall",code_141.py
"pandas, numpy, tensorflow, sklearn",Audio,Tokenization,RNN,RMSprop,mean_squared_error,12,16,Cross-Validation,"Accuracy, Recall",code_142.py
"tensorflow, keras",Text,Scaling,Transformer,,,15,16,,"Accuracy, Precision",code_143.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,RNN,SGD,categorical_crossentropy,12,32,Validation Split,"Accuracy, Recall",code_144.py
"tensorflow, numpy",Image,Tokenization,Transformer,,,8,64,,Accuracy,code_145.py
"pandas, numpy, tensorflow, sklearn",Tabular,Scaling,Transformer,,,8,32,,"Accuracy, Recall",code_146.py
"tensorflow, scikit-learn",Tabular,Tokenization,RNN,SGD,categorical_crossentropy,12,64,Cross-Validation,"Accuracy, Recall",code_147.py
"pandas, scikit-learn",Tabular,Image Augmentation,RNN,SGD,mean_squared_error,12,32,Cross-Validation,"Accuracy, Precision",code_148.py
"tensorflow, keras",Audio,Tokenization,CNN,SGD,categorical_crossentropy,18,32,Validation Split,Accuracy,code_149.py
"tensorflow, keras",Audio,Tokenization,RNN,RMSprop,categorical_crossentropy,20,16,Cross-Validation,"Precision, Recall",code_150.py
"tensorflow, numpy",Image,Tokenization,Random Forest,,,20,32,,"Accuracy, Recall",code_151.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,Random Forest,Adam,categorical_crossentropy,25,32,Validation Split,"Accuracy, Precision",code_152.py
"pandas, scikit-learn",Tabular,Image Augmentation,CNN,,,8,64,,"Accuracy, Precision",code_153.py
